Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,Rolling_17d_Return
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,,,
Date,,,,,,,,,
9/20/00,92.2220993,144.890625,146.03125,143.15625,145.6875,6508100,-0.007385972,0.003638268,-0.039638884
9/21/00,90.81983185,142.6875,145.5625,142.625,144.46875,5972300,-0.01520533,-0.011622383,-0.057454487
9/22/00,92.47075653,145.28125,145.3125,142.421875,142.625,7791300,0.01817802,0.006344365,-0.040518856
9/25/00,91.81433105,144.25,146.0625,143.71875,145.9375,9726300,-0.007098736,-0.000799408,-0.038121958
9/26/00,90.64083099,142.40625,145,142.40625,144.375,5302400,-0.01278123,-0.01357042,-0.062882193
9/27/00,91.11820984,143.15625,143.96875,142.125,143.5625,7186200,0.005266709,-0.008375183,-0.058911904
9/28/00,92.29171753,145,146.328125,142.890625,143.1875,7036400,0.012878959,0.004395912,-0.039112551
9/29/00,91.41652679,143.625,145.96875,143.625,145.46875,9333600,-0.009482874,-0.005128648,-0.037286802
10/2/00,91.55578613,143.84375,144.90625,143.140625,144.28125,5517800,0.00152335,-0.003613111,-0.044009545
10/3/00,90.70053101,142.5,145.75,142.28125,144.53125,9347200,-0.009341355,-0.012920714,-0.046420763
10/4/00,91.45630646,143.6875,144.25,141.75,142.875,6148900,0.008332646,-0.004695732,-0.037068725
10/5/00,91.77453613,144.1875,144.84375,143.3125,143.40625,4566900,0.003479582,-0.001232489,-0.026601166
10/6/00,89.78553009,141.0625,144.640625,139.75,143.875,10014900,-0.021672744,-0.022878522,-0.050196064
10/9/00,89.10923004,140,141.3125,139.375,141.3125,4508000,-0.007532395,-0.030238587,-0.062075068
10/10/00,87.63734436,137.6875,141.25,137.6875,140.09375,6104700,-0.016517769,-0.046256882,-0.056934565
10/11/00,86.90139008,136.53125,138.625,135.125,137.625,10346000,-0.008397725,-0.054266154,-0.056168015
10/12/00,84.7333374,133.125,137.59375,132.78125,137.28125,12336900,-0.024948423,-0.077860722,-0.087989756
10/13/00,87.55780792,137.5625,137.65625,132.875,132.9375,11778800,0.033333639,-0.047122464,-0.050576721
10/16/00,87.95559692,138.1875,138.234375,136.6875,137.40625,5659000,0.004543159,-0.04279339,-0.031537549
10/17/00,85.7677002,134.75,138.5625,134.40625,138.4375,7831700,-0.024875014,-0.066603919,-0.072488391
10/18/00,85.44939423,134.25,136.125,130.15625,132.625,10897300,-0.003711257,-0.070067991,-0.069324002
10/19/00,88.67163849,139.3125,139.453125,136.4375,136.84375,8767300,0.037709387,-0.035000825,-0.021725226
10/20/00,89.04956055,139.90625,141.1875,138.375,138.375,7373500,0.00426204,-0.03088796,-0.022702919
10/23/00,89.44738007,140.53125,141.03125,138.9375,139.9375,5290000,0.004467395,-0.026558555,-0.030818989
10/24/00,88.85068512,139.59375,141.9375,139,140.96875,5750700,-0.006670905,-0.03305229,-0.028067591
10/25/00,86.76216125,136.3125,139.5625,136.125,138.75,9137600,-0.023505996,-0.055781359,-0.052357421
10/26/00,87.00083923,136.6875,137.65625,134.03125,137.125,9345800,0.002750946,-0.053183865,-0.040790189
10/27/00,88.65179443,139.28125,139.28125,136.625,137.875,9762900,0.018976314,-0.035216785,-0.030665048
10/30/00,89.44738007,140.53125,141.09375,138.15625,138.4375,10154100,0.008974276,-0.026558555,-0.025357318
10/31/00,90.98886871,142.953125,143.6875,140.0625,141.015625,7752400,0.017233469,-0.009782782,0.013402367
11/1/00,90.6805954,142.46875,143.25,141.21875,142.25,6753600,-0.003388033,-0.013137671,0.017634148
11/2/00,90.82974243,142.703125,143.90625,142.515625,143.15625,11395100,0.001644751,-0.011514527,0.036427371
11/3/00,90.87947083,142.78125,143.75,142.375,143.46875,5187100,0.00054749,-0.010973341,0.045776952
11/6/00,91.51596832,143.78125,144.296875,143.03125,143.15625,4042500,0.007003754,-0.004046441,0.080046781
11/7/00,91.49612427,143.75,144,142.5625,143.140625,5231300,-0.000216837,-0.004262401,0.044979613
11/8/00,89.46728516,140.5625,144.0625,140.5625,144.0625,6123300,-0.022174044,-0.026341931,0.017186948
11/9/00,89.12914276,140.03125,141.21875,137.25,140,10635300,-0.003779509,-0.03002188,0.039192406
11/10/00,86.96107483,136.625,139.46875,136.53125,139,8569500,-0.024325017,-0.053616614,0.017690946
11/13/00,86.28478241,135.5625,136.984375,133.015625,135.625,17285300,-0.007776956,-0.060976596,-0.02691792
