,c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
80,2025-04-09,SPY   250509P00544000,30,627,2025-05-09,P,544.0,18.28,18.28,15.03,16.165,14,0,0.26567,-0.48027,0.26567,0.0098,-0.253721,0.61948,-0.186875,16.43,15.9,543.37,-0.12,138063686,0
81,2025-04-09,SPY   250509P00545000,30,627,2025-05-09,P,545.0,50.25,53.71,14.85,16.545,94,475,0.263379,-0.490191,0.263379,0.009896,-0.251076,0.62041,-0.190247,16.8,16.29,543.37,-0.3,137937888,0
82,2025-04-09,SPY   250509P00546000,30,627,2025-05-09,P,546.0,15.75,15.75,15.75,16.875,1,2,0.26028,-0.500403,0.26028,0.010026,-0.247597,0.621296,-0.193178,17.16,16.59,543.37,-0.48,138063688,0
83,2025-04-09,SPY   250509P00547000,30,627,2025-05-09,P,547.0,47.0,47.0,16.44,17.265,4,5,0.258135,-0.510732,0.258135,0.010121,-0.245091,0.622062,-0.195885,17.69,16.84,543.37,-0.67,138063690,0
84,2025-04-09,SPY   250509P00548000,30,627,2025-05-09,P,548.0,17.97,17.97,17.33,17.575,6,156,0.254295,-0.521505,0.254295,0.010271,-0.240371,0.617081,-0.198394,18.13,17.02,543.37,-0.85,137973694,0
85,2025-04-09,SPY   250509P00549000,30,627,2025-05-09,P,549.0,55.59,55.59,17.95,18.175,24,49,0.25492,-0.531446,0.25492,0.010231,-0.240066,0.617916,-0.20177,18.74,17.61,543.37,-1.04,137973696,0
86,2025-04-09,SPY   250509P00550000,30,627,2025-05-09,P,550.0,56.1,57.06,16.72,18.535,57,328,0.251653,-0.542485,0.251653,0.01035,-0.235687,0.618629,-0.204581,18.9,18.17,543.37,-1.22,137937890,0
87,2025-04-09,SPY   250509P00551000,30,627,2025-05-09,P,551.0,18.86,19.12,18.86,18.995,4,81,0.249982,-0.553302,0.249982,0.010405,-0.232962,0.618899,-0.206833,19.29,18.7,543.37,-1.4,137973698,0
88,2025-04-09,SPY   250509P00552000,30,627,2025-05-09,P,552.0,28.52,28.52,19.1,19.445,12,136,0.247621,-0.564326,0.247621,0.010467,-0.228942,0.608481,-0.209636,19.73,19.16,543.37,-1.5899999999999999,137973700,0
89,2025-04-09,SPY   250509P00553000,30,627,2025-05-09,P,553.0,58.5,58.5,58.5,19.98,2,102,0.246548,-0.574984,0.246548,0.010471,-0.226194,0.609192,-0.212522,20.34,19.62,543.37,-1.77,137973702,0
